ts_iso,mode,action,symbol,edge_bps,need_bps,hours_left,exA,sideA,priceA,amountA,orderIdA,exB,sideB,priceB,amountB,orderIdB,notional_usdt,basis_bps,fill_ratio_A,fill_ratio_B,expected_funding_pnl_usdt,expected_pnl_usdt
2025-08-17T03:24:27.527882+00:00,hybrid,error,LPT/USDT:USDT,10.347229,0.300000,4.636,bybit,buy,7.24800000,,,binanceusdm,sell,7.25300000,,,1000.00,-8.294,,,1.0347,1.0347
2025-08-17T03:30:06.388625+00:00,hybrid,error,LPT/USDT:USDT,9.496291,0.300000,4.541,bybit,buy,7.25200000,,,binanceusdm,sell,7.25800000,,,1000.00,-8.269,,,0.9496,0.9496
2025-08-17T03:40:39.880481+00:00,hybrid,error,XMR/USDT:USDT,8.627369,0.300000,4.326,binanceusdm,sell,255.78000000,,,bybit,buy,256.18000000,,,1000.00,12.504,,,0.8627,0.8627
2025-08-17T04:19:49.104623+00:00,hybrid,error,XMR/USDT:USDT,6.954888,0.300000,3.674,binanceusdm,sell,258.87000000,,,bybit,buy,259.29000000,,,1000.00,16.598,,,0.6955,0.6955
2025-08-17T04:59:14.062167+00:00,hybrid,dry_run,XMR/USDT:USDT,5.201539,0.300000,3.016,binanceusdm,sell,260.71000000,,,bybit,buy,260.66000000,,,29.32,6.521,,,0.0153,0.0153
2025-08-17T06:44:08.446592+00:00,hybrid,placed_maker,XMR/USDT:USDT,2.041732,1.200000,1.268,binanceusdm,sell,264.08112480,0.37867151647333486,12838836872,bybit,buy,264.46884080,0.37811637733014936,4c5ac54a-dcca-4d82-996b-a9596dda74ca,100.00,17.754,,,0.0204,0.0204
2025-08-17T06:44:13.585666+00:00,hybrid,hybrid_check,XMR/USDT:USDT,2.041732,1.200000,1.268,binanceusdm,sell,264.39000000,,,bybit,buy,264.50000000,,,100.00,17.754,1.0000,0.0000,0.0204,0.0204
2025-08-17T06:44:14.155426+00:00,hybrid,hybrid_fallback_taker,XMR/USDT:USDT,2.041732,1.200000,1.268,binanceusdm,sell,264.18000000,0.3785297902944962,12838837286,bybit,buy,264.51000000,0.37805754035764244,2a65ffe2-2cc4-4589-8c2c-f222cb2256e2,100.00,17.754,,,0.0204,0.0204
2025-08-17T06:49:56.715929+00:00,hybrid,error,XMR/USDT:USDT,1.839081,1.200000,1.171,binanceusdm,sell,264.12000000,,,bybit,buy,264.44000000,,,100.00,15.137,,,0.0184,0.0184
2025-08-17T06:55:37.917437+00:00,hybrid,error,XMR/USDT:USDT,1.616494,1.200000,1.077,binanceusdm,sell,264.00000000,,,bybit,buy,264.40000000,,,100.00,12.489,,,0.0162,0.0162
2025-08-17T13:58:57.206051+00:00,hybrid,placed_maker,BAT/USDT:USDT,1.601142,1.200000,2.092,bybit,buy,0.16368690,611.0,57f3901d-94db-48fa-83e0-c04a1212a77b,binanceusdm,sell,0.16361309,611.0,6094050322,100.00,12.203,,,0.0160,0.0160
2025-08-17T13:59:02.327851+00:00,hybrid,hybrid_check,BAT/USDT:USDT,1.601142,1.200000,2.092,bybit,buy,0.16370000,,,binanceusdm,sell,0.16370000,,,100.00,12.203,0.0000,0.0000,0.0160,0.0160
2025-08-17T13:59:02.893432+00:00,hybrid,hybrid_fallback_taker,BAT/USDT:USDT,1.601142,1.200000,2.092,bybit,buy,0.16370000,611.0,fe51760a-d953-4935-a7ad-fdd0f79724da,binanceusdm,sell,0.16360000,611.0,6094050444,100.00,12.203,,,0.0160,0.0160
2025-08-17T14:04:50.857107+00:00,hybrid,placed_maker,XMR/USDT:USDT,3.425516,1.200000,1.923,binanceusdm,sell,261.22089600,0.3828177666154242,12840356848,bybit,buy,261.70906160,0.38210369709261904,709c5a30-d2c1-4b7a-b03c-c302b0147ed8,100.00,18.765,,,0.0343,0.0343
2025-08-17T14:04:56.022343+00:00,hybrid,hybrid_check,XMR/USDT:USDT,3.425516,1.200000,1.923,binanceusdm,sell,261.17000000,,,bybit,buy,261.80000000,,,100.00,18.765,0.0000,0.0000,0.0343,0.0343
2025-08-17T14:04:56.698151+00:00,hybrid,hybrid_fallback_taker,XMR/USDT:USDT,3.425516,1.200000,1.923,binanceusdm,sell,261.19000000,0.3828630498870554,12840356988,bybit,buy,261.80000000,0.3819709702062643,b528df09-5115-4969-b6f1-5595bc6636ce,100.00,18.765,,,0.0343,0.0343
2025-08-17T14:10:45.616298+00:00,hybrid,error,XMR/USDT:USDT,3.329951,1.200000,1.824,binanceusdm,sell,260.00000000,,,bybit,buy,260.44000000,,,100.00,18.063,,,0.0333,0.0333
2025-08-17T14:16:31.517875+00:00,hybrid,error,XMR/USDT:USDT,3.164697,1.200000,1.728,binanceusdm,sell,260.33000000,,,bybit,buy,260.80000000,,,100.00,19.936,,,0.0316,0.0316
2025-08-17T14:28:02.088969+00:00,hybrid,error,XMR/USDT:USDT,2.788383,1.200000,1.537,binanceusdm,sell,260.87000000,,,bybit,buy,261.37000000,,,100.00,19.148,,,0.0279,0.0279
2025-08-17T14:45:16.712196+00:00,hybrid,error,XMR/USDT:USDT,2.254199,1.200000,1.249,binanceusdm,sell,259.91000000,,,bybit,buy,260.48000000,,,100.00,19.216,,,0.0225,0.0225
2025-08-18T13:19:44.312744+00:00,hybrid,dry_run,MAGIC/USDT:USDT,7.690705,0.500000,2.723,bybit,buy,0.24650000,,,binanceusdm,sell,0.24650000,,,61.02,-12.222,,,0.0469,0.0469
2025-08-18T13:27:59.850070+00:00,hybrid,dry_run,GLM/USDT:USDT,3.326448,0.600000,2.592,bybit,buy,0.25775000,,,binanceusdm,sell,0.25756000,,,61.02,-0.387,,,0.0203,0.0203
2025-08-18T13:33:58.578663+00:00,hybrid,dry_run,MAGIC/USDT:USDT,6.830220,0.600000,2.478,bybit,buy,0.24650000,,,binanceusdm,sell,0.24660000,,,61.02,12.109,,,0.0417,0.0417
2025-08-18T14:14:13.894019+00:00,hybrid,dry_run,GLM/USDT:USDT,2.387866,0.600000,1.821,bybit,buy,0.25544000,,,binanceusdm,sell,0.25518000,,,61.02,1.175,,,0.0146,0.0146
2025-08-18T14:20:13.440990+00:00,hybrid,dry_run,MAGIC/USDT:USDT,4.085128,0.600000,1.707,bybit,buy,0.24010000,,,binanceusdm,sell,0.24020000,,,61.02,-8.313,,,0.0249,0.0249
